Nombre de la carrera,Dirección,Área del conocimiento,Datos Estadísticos (DGAE-UNAM),Aciertos Mínimos por Examen de Selección,Promedio de corte pase reglamentado,Cupo,Características del aspirante,Descripción de la carrera,Palabras asociadas
Biología,Facultad de Ciencias (Cd. Mx.) / FES Iztacala (Edo. Méx.) / FES Zaragoza (Edo. Méx.),"Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 9,428. La asignación total de lugares para esta carrera fue de 1,373, por lo que de cada 7 estudiantes que demandaron la carrera, ingresó 1. El 62% del alumnado de primer ingreso son mujeres y 38% hombres.",Facultad de Ciencias: 103 | FES Iztacala: 92 | FES Zaragoza: 95,Facultad de Ciencias: 9.10 | FES Iztacala: 8.64 | FES Zaragoza: 8.50,"Asignación total de 1,373 lugares","Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Bases sólidas en biología, química, física y matemáticas. Gusto por la lectura, capacidad de análisis y síntesis. Interés por la naturaleza, los seres vivos y el trabajo de campo.","El biólogo estudia la estructura, función, evolución, distribución y relaciones de los seres vivos, desde el nivel molecular hasta el de la biosfera. Analiza la problemática ambiental y de los recursos naturales para su aprovechamiento racional y sustentable.","biología, seres vivos, ecología, evolución, biodiversidad, recursos naturales, sustentabilidad, investigación"
Bioquímica Diagnóstica,"Facultad de Ciencias, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,040. La asignación total de lugares para esta carrera fue de 122, por lo que de cada 9 estudiantes que demandaron la carrera, ingresó 1. El 65% del alumnado de primer ingreso son mujeres y 35% hombres.",Facultad de Ciencias: 97,Facultad de Ciencias: 8.88,Asignación total de 122 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Sólidos conocimientos en biología, química, física y matemáticas. Habilidad para el trabajo en laboratorio, observación meticulosa y capacidad de análisis.","El Bioquímico Diagnóstico es el profesionista que aplica los conocimientos de la bioquímica, la biología molecular y la inmunología para realizar e interpretar análisis clínicos que contribuyan al diagnóstico, pronóstico y tratamiento de enfermedades.","bioquímica, diagnóstico, análisis clínicos, laboratorio, biología molecular, inmunología, salud, enfermedad"
Ciencia de la Nutrición Humana,"Facultad de Medicina, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,595. La asignación total de lugares para esta carrera fue de 187, por lo que de cada 14 estudiantes que demandaron la carrera, ingresó 1. El 75% del alumnado de primer ingreso son mujeres y 25% hombres.",Facultad de Medicina: 104,Facultad de Medicina: 9.33,Asignación total de 187 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Conocimientos de biología, química y matemáticas. Interés por la salud, la alimentación y el bienestar humano. Vocación de servicio y sensibilidad social.","El Licenciado en Ciencia de la Nutrición Humana es el profesional que estudia la relación entre la alimentación, los nutrimentos y la salud, para prevenir y tratar enfermedades, así como para promover estilos de vida saludables a nivel individual y colectivo.","nutrición, alimentación, salud, nutrimentos, dietética, salud pública, metabolismo, bienestar"
Ciencia de Materiales Sustentables,"ENES Unidad Morelia, Michoacán",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 133. La asignación total de lugares para esta carrera fue de 52, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 35% del alumnado de primer ingreso son mujeres y 65% hombres.",ENES Unidad Morelia: 70,ENES Unidad Morelia: 7.98,Información no disponible en la página de oferta,"Haber cursado el Área de las Ciencias Físico-Matemáticas o Químico-Biológicas. Conocimientos de matemáticas, física y química. Interés por la ciencia, la tecnología y la innovación. Vocación por la sustentabilidad y el cuidado del medio ambiente.","La licenciatura forma profesionales capaces de desarrollar, caracterizar y aplicar materiales con un enfoque sustentable, considerando su ciclo de vida completo y minimizando su impacto ambiental.","ciencia de materiales, sustentabilidad, materiales sustentables, ingeniería de materiales, innovación, medio ambiente"
Ciencia Forense,"Facultad de Medicina, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 4,530. La asignación total de lugares para esta carrera fue de 179, por lo que de cada 25 estudiantes que demandaron la carrera, ingresó 1. El 65% del alumnado de primer ingreso son mujeres y 35% hombres.",Facultad de Medicina: 113,Facultad de Medicina: 9.41,Asignación total de 179 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud o Físico-Matemáticas. Sólidos conocimientos en ciencias naturales, biología y química. Capacidad de observación, análisis lógico-deductivo y ética profesional.","El científico forense es el experto que aplica los conocimientos científicos y técnicos de diversas disciplinas para la investigación de hechos delictivos, aportando pruebas periciales que coadyuvan en la procuración y administración de justicia.","ciencia forense, criminalística, investigación criminal, peritaje, justicia, evidencia, laboratorio forense"
Ciencias Agroforestales,"ENES Unidad Morelia, Michoacán","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 84. La asignación total de lugares para esta carrera fue de 50, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 44% del alumnado de primer ingreso son mujeres y 56% hombres.",ENES Unidad Morelia: 45,ENES Unidad Morelia: 7.50,Información no disponible en la página de oferta,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud o Físico-Matemáticas. Conocimientos de biología, química y matemáticas. Interés por el campo, los recursos forestales y agropecuarios, y la sustentabilidad.","El licenciado en Ciencias Agroforestales integra conocimientos de agricultura, ganadería y forestería para el manejo sustentable de sistemas productivos, considerando aspectos ecológicos, económicos y sociales para mejorar la calidad de vida rural.","agroforestería, agricultura, forestería, ganadería, manejo de recursos naturales, desarrollo rural, sustentabilidad"
Ciencias Agrogenómicas,"ENES Unidad León, Guanajuato","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 58. La asignación total de lugares para esta carrera fue de 41, por lo que de cada 1 estudiante que demandó la carrera, ingresó 1. El 66% del alumnado de primer ingreso son mujeres y 34% hombres.",ENES Unidad León: 45,ENES Unidad León: 7.50,Información no disponible en la página de oferta,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Sólidos conocimientos en biología, química y genética. Interés por la investigación genómica aplicada al mejoramiento de cultivos y la producción agrícola.","La licenciatura forma profesionales que aplican el conocimiento de la genómica y la biotecnología para resolver problemas del sector agropecuario, desarrollando variedades mejoradas de plantas y microorganismos que optimicen la producción de alimentos.","genómica, agricultura, biotecnología, mejoramiento genético, cultivos, agrobiotecnología, investigación agrícola"
Ciencias Ambientales,"ENES Unidad Morelia, Michoacán","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 421. La asignación total de lugares para esta carrera fue de 111, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 56% del alumnado de primer ingreso son mujeres y 44% hombres.",ENES Unidad Morelia: 69,ENES Unidad Morelia: 7.96,Asignación total de 111 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud o Físico-Matemáticas. Interés por la problemática ambiental, los ecosistemas y la sustentabilidad. Capacidad de análisis y síntesis, gusto por el trabajo de campo y vocación social.","El licenciado en Ciencias Ambientales analiza la problemática ambiental desde una perspectiva interdisciplinaria, integrando las ciencias naturales y sociales para proponer soluciones que promuevan el manejo sustentable de los recursos naturales.","ciencias ambientales, medio ambiente, ecología, sustentabilidad, recursos naturales, gestión ambiental, impacto ambiental"
Ciencia de Datos,"ENES Unidad León, Guanajuato",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 412. La asignación total de lugares para esta carrera fue de 78, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 33% del alumnado de primer ingreso son mujeres y 67% hombres.",ENES Unidad León: 85,ENES Unidad León: 8.36,Información no disponible en la página de oferta,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Sólidos conocimientos de matemáticas, estadística y computación. Habilidad para el razonamiento lógico, la resolución de problemas y el manejo de grandes volúmenes de información.","El licenciado en Ciencia de Datos es un profesional que utiliza métodos científicos, algoritmos y sistemas para extraer conocimiento y perspectivas de datos estructurados y no estructurados, apoyando la toma de decisiones en organizaciones.","ciencia de datos, big data, estadística, matemáticas aplicadas, programación, inteligencia artificial, machine learning, análisis de datos"
Ciencias de la Computación,"Facultad de Ciencias, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,905. La asignación total de lugares para esta carrera fue de 304, por lo que de cada 10 estudiantes que demandaron la carrera, ingresó 1. El 25% del alumnado de primer ingreso son mujeres y 75% hombres.",Facultad de Ciencias: 104,Facultad de Ciencias: 8.85,Asignación total de 304 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Conocimientos sólidos en matemáticas y lógica. Gusto por la tecnología, la programación y la resolución de problemas abstractos. Capacidad de análisis y síntesis.","El Licenciado en Ciencias de la Computación es el profesional que estudia los fundamentos teóricos de la información y la computación, y su aplicación en sistemas computacionales para resolver problemas de diversas disciplinas.","computación, ciencias de la computación, programación, algoritmos, inteligencia artificial, teoría de la computación, software, sistemas"
Ciencias de la Comunicación,Facultad de Ciencias Políticas y Sociales (Cd. Mx.) / FES Acatlán (Edo. Méx.) / FES Aragón (Edo. Méx.),Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 9,839. La asignación total de lugares para esta carrera fue de 1,426, por lo que de cada 7 estudiantes que demandaron la carrera, ingresó 1. El 58% del alumnado de primer ingreso son mujeres y 42% hombres.",FCPyS: 80 | FES Acatlán: 71 | FES Aragón: 73,FCPyS: 8.00 | FES Acatlán: 7.86 | FES Aragón: 7.86,"Asignación total de 1,426 lugares","Haber cursado el Área de las Ciencias Sociales o Humanidades y Artes. Habilidad para la expresión oral y escrita. Interés por los medios de comunicación, la cultura, la política y los fenómenos sociales. Capacidad crítica y analítica.","El comunicólogo estudia los procesos de comunicación humana en sus diversos niveles y modalidades. Analiza, produce y evalúa mensajes para medios masivos y organizacionales, comprendiendo el impacto social de los mismos.","comunicación, medios de comunicación, periodismo, comunicación organizacional, publicidad, propaganda, medios digitales"
Ciencias de la Tierra,"ENES Unidad Juriquilla, Querétaro / Facultad de Ciencias, Cd. Mx.",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 363. La asignación total de lugares para esta carrera fue de 126, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 58% del alumnado de primer ingreso son mujeres y 42% hombres.",Facultad de Ciencias: 69 | ENES Juriquilla: 68,Facultad de Ciencias: 8.20 | ENES Juriquilla: 7.60,Asignación total de 126 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas o Químico-Biológicas. Interés por el estudio del planeta, los fenómenos naturales, los recursos terrestres y el medio ambiente. Gusto por el trabajo de campo y de laboratorio.","El licenciado en Ciencias de la Tierra estudia el origen, evolución, estructura y dinámica del planeta, así como los procesos que lo modelan, para contribuir al conocimiento, exploración y aprovechamiento sustentable de los recursos terrestres.","ciencias de la tierra, geología, geofísica, sismología, vulcanología, recursos naturales, medio ambiente, ciencias espaciales"
Ciencias Genómicas,"ENES Unidad Juriquilla, Querétaro","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 565. La asignación total de lugares para esta carrera fue de 111, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 51% del alumnado de primer ingreso son mujeres y 49% hombres.",ENES Unidad Juriquilla: 95,ENES Unidad Juriquilla: 8.80,Asignación total de 111 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud o Físico-Matemáticas. Sólidos conocimientos en biología, química y matemáticas. Interés por la genética, la biología molecular y la bioinformática.",La Licenciatura en Ciencias Genómicas forma profesionales capaces de generar y analizar información genómica a gran escala mediante herramientas computacionales y matemáticas para entender los sistemas biológicos.,"genómica, bioinformática, biología molecular, genética, secuenciación, biotecnología, ciencias ómicas"
Ciencias Políticas y Administración Pública,Facultad de Ciencias Políticas y Sociales (Cd. Mx.) / FES Acatlán (Edo. Méx.) / FES Aragón (Edo. Méx.),Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 10,049. La asignación total de lugares para esta carrera fue de 1,534, por lo que de cada 7 estudiantes que demandaron la carrera, ingresó 1. El 56% del alumnado de primer ingreso son mujeres y 44% hombres.",FCPyS: 85 | FES Acatlán: 74 | FES Aragón: 75,FCPyS: 8.20 | FES Acatlán: 7.95 | FES Aragón: 7.93,"Asignación total de 1,534 lugares","Haber cursado el Área de las Ciencias Sociales. Interés por la política, el gobierno, la administración pública y los problemas nacionales e internacionales. Capacidad de análisis crítico, argumentación y debate.","El politólogo y administrador público analiza el poder, el Estado, el gobierno y las políticas públicas. Está capacitado para participar en la gestión gubernamental, el análisis político y la consultoría en el sector público y privado.","ciencia política, administración pública, gobierno, políticas públicas, estado, relaciones de poder, gestión pública, análisis político"
Cinematografía,"Escuela Nacional de Artes Cinematográficas, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,084. La asignación total de lugares para esta carrera fue de 112, por lo que de cada 10 estudiantes que demandaron la carrera, ingresó 1. El 46% del alumnado de primer ingreso son mujeres y 54% hombres.",ENAC: 85,ENAC: Sin registro de solicitudes de ingreso por Pase Reglamentado,Asignación total de 112 lugares,"Haber cursado el Área de las Humanidades y Artes. Creatividad, sensibilidad artística y cultura general amplia. Interés por el cine, la narrativa audiovisual y las artes visuales. Capacidad de trabajo en equipo.","El cineasta es un profesional con una formación integral en las áreas de realización, producción, guionismo, fotografía, sonido y montaje cinematográfico, preparado para crear obras audiovisuales con calidad artística y técnica.","cinematografía, cine, dirección cinematográfica, producción audiovisual, guionismo, fotografía cinematográfica, montaje, sonido"
Cirujano Dentista,Facultad de Odontología (Cd. Mx.) / FES Iztacala (Edo. Méx.) / FES Zaragoza (Edo. Méx.) / ENES León (Gto.),"Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 10,632. La asignación total de lugares para esta carrera fue de 1,313, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 68% del alumnado de primer ingreso son mujeres y 32% hombres.",Facultad de Odontología: 93 | FES Iztacala: 89 | FES Zaragoza: 90 | ENES León: 85,Facultad de Odontología: 8.72 | FES Iztacala: 8.49 | FES Zaragoza: 8.61 | ENES León: 8.40,"Asignación total de 1,313 lugares","Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Conocimientos de biología, química y anatomía. Habilidad manual y psicomotricidad fina. Vocación de servicio y ética profesional.","El Cirujano Dentista es el profesional que previene, diagnostica y trata las enfermedades del sistema estomatognático, restaurando la salud bucal de los pacientes y promoviendo la prevención en la comunidad.","odontología, cirujano dentista, salud bucal, estomatología, dientes, ortodoncia, periodoncia, endodoncia"
Comunicación,"Facultad de Estudios Superiores Acatlán, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 5,423. La asignación total de lugares para esta carrera fue de 630, por lo que de cada 9 estudiantes que demandaron la carrera, ingresó 1. El 58% del alumnado de primer ingreso son mujeres y 42% hombres.",FES Acatlán: 71,FES Acatlán: 7.86,Asignación total de 630 lugares,"Haber cursado el Área de las Ciencias Sociales o Humanidades y Artes. Habilidad para la expresión oral y escrita. Interés por los medios de comunicación, la cultura y los fenómenos sociales. Capacidad crítica y analítica.","El comunicólogo estudia los procesos de comunicación humana en sus diversos niveles y modalidades. Analiza, produce y evalúa mensajes para medios masivos y organizacionales, comprendiendo el impacto social de los mismos.","comunicación, medios, periodismo, comunicación organizacional, publicidad, medios digitales"
Comunicación y Periodismo,"Facultad de Estudios Superiores Aragón, Estado de México",Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,924. La asignación total de lugares para esta carrera fue de 380, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 54% del alumnado de primer ingreso son mujeres y 46% hombres.",FES Aragón: 71,FES Aragón: 7.80,Asignación total de 380 lugares,"Haber cursado el Área de las Ciencias Sociales o Humanidades y Artes. Interés por el periodismo, los géneros periodísticos y la investigación. Habilidad para la redacción y la expresión oral. Ética profesional y vocación por la verdad.","El licenciado en Comunicación y Periodismo está formado para investigar, redactar, editar y difundir información de interés público a través de diversos medios, con un sentido ético y de responsabilidad social.","periodismo, comunicación, reporterismo, géneros periodísticos, medios informativos, investigación periodística, ética periodística"
Contaduría,Facultad de Contaduría y Administración (Cd. Mx.) / FES Cuautitlán (Edo. Méx.),Ciencias Sociales,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 9,158. La asignación total de lugares para esta carrera fue de 2,058, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 54% del alumnado de primer ingreso son mujeres y 46% hombres.",FCA Escolarizada: 78 | FCA Abierta: 63 | FCA a Distancia: 71 | FES Cuautitlán: 56,FCA Escolarizada: 7.56 | FCA Abierta: 7.01 | FCA a Distancia: 7.77 | FES Cuautitlán: 7.24,"Asignación total de 2,058 lugares","Bases matemáticas, lectura y redacción. Gusto por el análisis financiero, los números y la sistematización de información. Ética, responsabilidad y honestidad. Capacidad de análisis y síntesis.","El Contador Público es el profesional que genera, analiza e interpreta información financiera para la toma de decisiones en las organizaciones, cumpliendo con las disposiciones fiscales y legales vigentes.","contaduría, contabilidad, finanzas, auditoría, impuestos, estados financieros, costos, fiscal"
